actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
afghanistan,afghanistan,afghanistan,NA,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0
albania,albania,albania,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,6,14,2.33333333333333,534,0.00432015825621081,6,14,NA,0
algeria,African Group,African Group,0,0,0,8,9333,9333,8,5,3,4,2,13,72,5.53846153846154,328,0.00343186156997426,715,10755,"sudan, algeria, algeria, federated states of micronesia, nigeria, solomon islands, norway, eritrea, cameroon, china, russian federation, philippines, palestine, papua new guinea, kenya, mauritius, algeria, cameroon, eritrea, cameroon, singapore, cameroon, cameroon, eritrea, togo, kenya, morocco, seychelles, senegal, tanzania, sierra leone, eritrea, togo, sri lanka, fiji, eritrea, argentina, usa, egypt, sudan, eritrea, nigeria, sri lanka, mauritius, nigeria, federated states of micronesia, cameroon, togo, seychelles, usa",28
andorra,andorra,andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
angola,angola,African Group,NA,NA,NA,NA,NA,9333,8,7,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
antigua and barbuda,antigua and barbuda,CARICOM,NA,NA,NA,NA,NA,9787,24,2,0,0,NA,NA,NA,NA,NA,NA,27,258,NA,0
argentina,CLAM,CLAM,0,0,0,4,1559,13452,21,13,4,4,NA,188,2077,11.0478723404255,2125,0.0511647567539634,1779,23382,"mexico, monaco, brazil, australia, algeria, venezuela, peru, peru, chile, peru",8
armenia,armenia,armenia,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,2,2,224,0.00219431912289138,1,2,"paraguay, paraguay",1
aruba,aruba,aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
australia,australia,australia,0,0,0,17,9085,9085,17,0,6,8,NA,1925,71969,37.3864935064935,24515,0.650438065098478,1925,71969,"monaco, new zealand, switzerland, new zealand, peru, usa, switzerland, tuvalu, usa, australia",6
austria,austria,eu,NA,NA,NA,NA,NA,20144,37,23,3,2,NA,120,2755,22.9583333333333,2233,0.0454462329215482,9981,277146,NA,0
azerbaijan,azerbaijan,azerbaijan,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,8,6,0.75,179,0.00152488861864424,8,6,NA,0
bahamas,CARICOM,CARICOM,0,1,0,NA,659,9787,24,0,7,7,NA,3,8,2.66666666666667,111,0.00457657833517568,27,258,NA,0
bahrain,bahrain,bahrain,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,5,34,6.8,60,0.00137683355023175,5,34,NA,0
bangladesh,bangladesh,bangladesh,0,0,0,4,1554,0,0,5,4,4,NA,18,153,8.5,170,0.00355351231856085,0,0,norway,1
barbados,CARICOM,CARICOM,0,0,0,10,2390,9787,24,0,4,5,NA,8,148,18.5,71,0.00249478626754096,27,258,"sri lanka, canada",2
belarus,belarus,belarus,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,1,26,26,116,0.00131336152519899,1,26,palestine,1
belgium,belgium,eu,NA,NA,NA,NA,NA,20144,37,24,7,8,11,318,9678,30.4339622641509,7360,0.173572112354276,9981,277146,"algeria, eu, algeria, united kingdom",3
belize,AOSIS,AOSIS,0,2,0,10,4381,4381,10,4,5,3,NA,2,57,28.5,66,0.00165908532601989,111,1891,"tonga, papua new guinea, belize, australia, singapore, usa, mauritius, bahamas, bahamas, seychelles, eritrea, maldives, algeria, eritrea, singapore, eu, maldives, maldives, indonesia",14
benin,benin,African Group,NA,NA,NA,NA,NA,9333,8,3,0,0,NA,3,4,1.33333333333333,30,5.18299420125487e-4,715,10755,togo,1
bhutan,bhutan,bhutan,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0
bolivia,bolivia,bolivia,NA,NA,NA,NA,NA,NA,NA,4,0,0,NA,2,13,6.5,73,0.00152526107253278,2,13,paraguay,1
bosnia and herzegovina,bosnia and herzegovina,bosnia and herzegovina,NA,NA,NA,NA,NA,NA,NA,4,0,0,NA,1,2,2,59,6.0146322476719e-4,1,2,NA,0
botswana,botswana,African Group,NA,NA,NA,NA,NA,9333,8,14,4,4,NA,NA,NA,NA,NA,NA,715,10755,paraguay,1
brazil,CLAM,CLAM,0,0,0,2,1709,13452,21,66,7,9,NA,833,8774,10.5330132052821,9332,0.263922021782995,1779,23382,"argentina, colombia, brazil, mexico, colombia, peru, peru, iran, peru",5
brunei darussalam,brunei darussalam,brunei darussalam,NA,NA,NA,NA,NA,NA,NA,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bulgaria,bulgaria,eu,NA,NA,NA,NA,NA,20144,37,3,6,5,NA,36,114,3.16666666666667,1244,0.0157364165619919,9981,277146,NA,0
burkina faso,burkina faso,African Group,NA,NA,NA,NA,NA,9333,8,10,4,4,NA,NA,NA,NA,NA,NA,715,10755,NA,0
burundi,burundi,African Group,NA,NA,NA,NA,NA,9333,8,4,NA,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
cambodia,cambodia,cambodia,NA,NA,NA,NA,NA,0,0,8,0,0,NA,3,19,6.33333333333333,121,0.00244675162094947,0,0,NA,0
cameroon,cameroon,African Group,0,0,0,7,1733,9333,8,10,0,3,NA,4,27,6.75,49,9.7171526340918e-4,715,10755,"cameroon, cameroon",0
canada,canada,canada,0,2,0,28,12471,12471,28,36,9,9,NA,962,39558,41.1205821205821,13364,0.389019661139583,962,39558,"norway, usa, norway, norway, canada, federated states of micronesia, norway, canada, new zealand, peru, palestine, iceland, switzerland, canada, philippines, sri lanka, philippines, new zealand, australia, ecuador, federated states of micronesia, norway, usa, singapore, new zealand, monaco, turkey, switzerland, switzerland, australia, eu, new zealand, eu, monaco, iceland, federated states of micronesia, peru, canada",16
cape verde,cape verde,African Group,NA,NA,NA,NA,NA,9333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,10755,NA,0
