"","actor","talk_time_igc1_MGR","talk_time_igc1_ABMT","talk_time_igc1_EIA","talk_time_igc1_CBTT","talk_time_igc1_crosscutting","talk_time_igc1_other","talk_time_igc2_MGR","talk_time_igc2_ABMT","talk_time_igc2_EIA","talk_time_igc2_CBTT","talk_time_igc2_crosscutting","talk_time_igc2_other","talk_time_igc3_MGR","talk_time_igc3_ABMT","talk_time_igc3_EIA","talk_time_igc3_CBTT","talk_time_igc3_crosscutting","talk_time_igc3_other","talk_fr_igc1_MGR","talk_fr_igc1_ABMT","talk_fr_igc1_EIA","talk_fr_igc1_CBTT","talk_fr_igc1_Cross.Cutting","talk_fr_igc2_MGR","talk_fr_igc2_ABMT","talk_fr_igc2_EIA","talk_fr_igc2_CBTT","talk_fr_igc2_Cross.Cutting","talk_fr_igc3_MGR","talk_fr_igc3_ABMT","talk_fr_igc3_EIA","talk_fr_igc3_CBTT","talk_fr_igc3_Cross.Cutting","host_side_event_igc1","host_side_event_igc2","host_side_event_igc3","sci_fr_igc1_MGR","sci_fr_igc1_ABMT","sci_fr_igc1_EIA","sci_fr_igc1_CBTT","sci_fr_igc1_crosscutting","sci_fr_igc2_MGR","sci_fr_igc2_ABMT","sci_fr_igc2_EIA","sci_fr_igc2_CBTT","sci_fr_igc2_crosscutting","sci_fr_igc3_MGR","sci_fr_igc3_ABMT","sci_fr_igc3_EIA","sci_fr_igc3_CBTT","sci_fr_igc3_crosscutting","frq_sci1","frq_sci2","frq_sci3","total_frq_sci","total_time","agg_total_time","agg_frq_sci","participants_CBD_cop18","participants_BBNJ_igc1","participants_BBNJ_igc2","participants_BBNJ_igc3","total_publications","total_citations","talk_time_MGR","talk_time_ABMT","talk_time_EIA","talk_time_CBTT","talk_time_crosscutting","2014_expenditure_rd","2015_expenditure_rd","2016_expenditure_rd","2017_expenditure_rd","2018_expenditure_rd","2019_expenditure_rd","2014_expenditure_rd_pc","2015_expenditure_rd_pc","2016_expenditure_rd_pc","2017_expenditure_rd_pc","2018_expenditure_rd_pc","2019_expenditure_rd_pc","X","represents_alliance","alliance","avg_citation","degree_centrality","eigen_centrality","member_alliance","PSIDS","CLAM","AOSIS","CARICOM","Least_Developed","Non_UNCLOS_Party","African_Group","G77_and_China","EU","region","continent","maripoldata_regions","Country"
"1","all",451.038461538462,367.201923076923,63.5096153846154,292.769230769231,58.9230769230769,107.778846153846,395.528846153846,456.451923076923,385.923076923077,274.019230769231,404.211538461538,205.673076923077,213.596153846154,203.432692307692,214.721153846154,116.865384615385,593.105769230769,267.788461538462,1.70192307692308,1.70192307692308,0.288461538461538,1.46153846153846,0.557692307692308,1.56730769230769,1.41346153846154,1.68269230769231,1.39423076923077,2.41346153846154,2.18269230769231,1.10576923076923,1.48076923076923,1.20192307692308,6.79807692307692,0.0769230769230769,0.173076923076923,0.125,1.18269230769231,0.798076923076923,0.269230769230769,0.509615384615385,0.817307692307692,1.22115384615385,0.778846153846154,0.288461538461538,0.557692307692308,0.923076923076923,1.25,0.778846153846154,0.317307692307692,0.519230769230769,1.13461538461538,3.57692307692308,3.76923076923077,4,11.3461538461538,3257.85576923077,3257.85576923077,11.3461538461538,9.94219653179191,4.02298850574713,4,4.53142857142857,183.028571428571,5246.15,1060.16346153846,1027.08653846154,664.153846153846,683.653846153846,1056.24038461538,20357192.2601206,19619217.05256,21819781.9752096,23140928.9582828,26967327.9471416,23309076.111795,379.14842373494,397.683952065217,401.029003452381,439.473263372093,479.365279333333,1338.50443,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,9,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Asia","Asia","Asia",NA
"3","african group",2317,845,417,537,266,0,1362,1811,996,918,2131,479,881,516,516,288,1178,786,7,7,2,3,1,7,5,7,7,10,8,2,5,4,18,0,0,0,5,1,0,0,0,6,1,0,1,0,5,1,0,0,0,6,8,6,20,10597,10597,20,NA,NA,NA,NA,NA,NA,4560,3172,1929,1743,3575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"African Group","african group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"albania",2.33333333333333,534,0.00432015825621081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Europe","Europe","Europe",NA
"5","algeria",2317,845,417,537,266,0,1362,1811,996,918,2131,479,881,516,516,288,1178,786,7,7,2,3,1,7,5,7,7,10,8,2,5,4,18,0,0,0,5,1,0,0,0,6,1,0,1,0,5,1,0,0,0,6,8,6,20,10597,10597,20,5,3,4,2,13,72,4560,3172,1929,1743,3575,NA,NA,NA,2595755.78921,NA,NA,NA,NA,NA,62.71579,NA,NA,4,"African Group","African Group",5.53846153846154,328,0.00343186156997426,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Northern Africa","Africa","Africa","Algeria"
"6","angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,7,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,66158.95478,NA,NA,NA,NA,NA,2.2938,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Angola"
"7","antigua and barbuda",0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3,0,9483,25,2,0,0,0,NA,NA,0,0,155,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"antigua and barbuda","CARICOM",NA,NA,NA,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"8","aosis",91,401,0,0,0,0,178,1373,0,782,962,341,0,638,0,0,243,554,1,1,0,0,0,1,5,0,4,4,0,3,0,0,4,0,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,2,2,2,6,4176,4176,6,NA,NA,NA,NA,NA,NA,269,2412,0,782,1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"aosis","aosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","argentina",329,516,0,196,0,475,222,1204,0,0,0,0,0,0,0,0,133,0,2,2,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,1559,13259,79,13,4,4,4,188,2077,551,1720,0,196,133,4988670.22807,5399222.38491,4940912.23839,5781951.96578,5113412.52598,NA,117.00191,125.34348,113.5621,131.596,115.26781,NA,8,"CLAM","CLAM",11.0478723404255,2125,0.0511647567539634,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Argentina"
"10","armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,9,1,0,0,0,1,2,NA,NA,NA,NA,NA,70597.43085,72921.83148,73244.32115,81300.52469,72515.57934,NA,24.24022,24.92583,24.94576,27.60825,24.56702,NA,NA,NA,"armenia",2,224,0.00219431912289138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Armenia"
